target,modality,RT
68-scenes\house-68\house_06_09_google.jpg,medium-low,4.141071500023827
68-scenes\library-68\Library_P2150016.jpg,control,-1
68-scenes\bridge-68\c_791015.jpg,high,4.178675399860367
68-scenes\skyscraper-68\urban987.jpg,control,3.4721152000129223
68-scenes\skyscraper-68\a212044.jpg,low,2.5643496001139283
68-scenes\house-68\house_13_02_askl.jpg,high,4.551382299978286
68-scenes\skyscraper-68\a462057.jpg,medium-low,2.466172199929133
68-scenes\bridge-68\b_792098.jpg,medium,4.145815100055188
68-scenes\skyscraper-68\a487065.jpg,medium,2.1461124001070857
68-scenes\library-68\ccls-img-buildingbos.jpg,low,2.1408658002037555
68-scenes\bridge-68\t_792098.jpg,control,2.467521999962628
68-scenes\temple-68\Singapore_01.jpg,high,2.4698156998492777
68-scenes\temple-68\khookongsi.jpg,medium-low,2.335885499836877
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,control,1.83670310000889
68-scenes\skyscraper-68\city10.jpg,high,0.5183321998920292
68-scenes\temple-68\TempleOfHeaven.jpg,control,1.4720530998893082
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,low,1.467501499922946
68-scenes\library-68\librairie-16.jpg,high,1.54407860012725
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium-low,1.8092404999770224
68-scenes\bridge-68\b_791052.jpg,medium-low,2.132295399904251
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium-low,2.620101099833846
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium,2.1347226998768747
68-scenes\temple-68\image03.jpg,low,1.4645585000980645
68-scenes\house-68\house_03_01_google.jpg,low,1.1293686998542398
68-scenes\temple-68\shwezigon-temple-500.jpg,medium,1.8724733998533338
68-scenes\library-68\inside01.jpg,medium,1.8720756999682635
68-scenes\house-68\house_08_03_askl.jpg,medium,2.1305709001608193
68-scenes\house-68\meeting+room_06_04_askl.jpg,control,1.8011027998290956
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,high,1.4642005998175591
68-scenes\bridge-68\beach_07_06_flickr.jpg,low,1.5343166999518871
